TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-05-09 19:39:20,1778355560706,www.signarank.club/address/1189430497292168769,GET,,200,pb84n-1778355560521-fdb8c093486d,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),info,production,main,MISS,function,/address/[address],www.signarank.club,www.signarank.club,dpl_7d2XBmCccscwT3rSgG3h95nEH9aq,,,,,"prisma:query SELECT ""public"".""Address"".""id"", ""public"".""Address"".""address"", ""public"".""Address"".""score"", ""public"".""Address"".""ranking"", ""public"".""Address"".""progress"", ""public"".""Address"".""name"", ""public"".""Address"".""imageUrl"", ""public"".""Address"".""description"", ""public"".""Address"".""active"", ""public"".""Address"".""createdAt"", ""public"".""Address"".""updatedAt"" FROM ""public"".""Address"" WHERE ""public"".""Address"".""address"" = $1 LIMIT $2 OFFSET $3",prj_q0cRf9YyJTKZFmseEyTLAnrE22f2,,,,,,,
2026-05-09 19:39:21,1778355561294,www.signarank.club/address/1189430497292168769,GET,,200,pb84n-1778355560521-fdb8c093486d,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),info,production,main,MISS,function,/address/[address],www.signarank.club,www.signarank.club,dpl_7d2XBmCccscwT3rSgG3h95nEH9aq,,,,,prisma:query BEGIN,prj_q0cRf9YyJTKZFmseEyTLAnrE22f2,,,,,,,
2026-05-09 19:39:21,1778355561298,www.signarank.club/address/1189430497292168769,GET,,200,pb84n-1778355560521-fdb8c093486d,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),info,production,main,MISS,function,/address/[address],www.signarank.club,www.signarank.club,dpl_7d2XBmCccscwT3rSgG3h95nEH9aq,,,,,"prisma:query INSERT INTO ""public"".""Address"" (""address"",""score"",""ranking"",""progress"",""name"",""imageUrl"",""description"",""active"",""createdAt"",""updatedAt"") VALUES ($1,$2,$3,$4,$5,$6,$7,$8,$9,$10) ON CONFLICT (""address"") DO UPDATE SET ""address"" = $11, ""score"" = $12, ""name"" = $13, ""imageUrl"" = $14, ""description"" = $15, ""progress"" = $16, ""updatedAt"" = $17 WHERE (""public"".""Address"".""address"" = $18 AND 1=1) RETURNING ""public"".""Address"".""id"", ""public"".""Address"".""address"", ""public"".""Address"".""score"", ""public"".""Address"".""ranking"", ""public"".""Address"".""progress"", ""public"".""Address"".""name"", ""public"".""Address"".""imageUrl"", ""public"".""Address"".""description"", ""public"".""Address"".""active"", ""public"".""Address"".""createdAt"", ""public"".""Address"".""updatedAt""",prj_q0cRf9YyJTKZFmseEyTLAnrE22f2,,,,,,,
2026-05-09 19:39:21,1778355561326,www.signarank.club/address/1189430497292168769,GET,,200,pb84n-1778355560521-fdb8c093486d,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),info,production,main,MISS,function,/address/[address],www.signarank.club,www.signarank.club,dpl_7d2XBmCccscwT3rSgG3h95nEH9aq,,,,,"prisma:query                     SELECT COUNT(*) + 1 as ranking                    FROM ""Address""                    WHERE score > $1",prj_q0cRf9YyJTKZFmseEyTLAnrE22f2,,,,,,,
2026-05-09 19:39:21,1778355561329,www.signarank.club/address/1189430497292168769,GET,,200,pb84n-1778355560521-fdb8c093486d,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),info,production,main,MISS,function,/address/[address],www.signarank.club,www.signarank.club,dpl_7d2XBmCccscwT3rSgG3h95nEH9aq,,,,,"prisma:query UPDATE ""public"".""Address"" SET ""ranking"" = $1, ""updatedAt"" = $2 WHERE (""public"".""Address"".""address"" = $3 AND 1=1) RETURNING ""public"".""Address"".""id"", ""public"".""Address"".""address"", ""public"".""Address"".""score"", ""public"".""Address"".""ranking"", ""public"".""Address"".""progress"", ""public"".""Address"".""name"", ""public"".""Address"".""imageUrl"", ""public"".""Address"".""description"", ""public"".""Address"".""active"", ""public"".""Address"".""createdAt"", ""public"".""Address"".""updatedAt""",prj_q0cRf9YyJTKZFmseEyTLAnrE22f2,,,,,,,
2026-05-09 19:39:21,1778355561333,www.signarank.club/address/1189430497292168769,GET,,200,pb84n-1778355560521-fdb8c093486d,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),info,production,main,MISS,function,/address/[address],www.signarank.club,www.signarank.club,dpl_7d2XBmCccscwT3rSgG3h95nEH9aq,,,,,prisma:query COMMIT,prj_q0cRf9YyJTKZFmseEyTLAnrE22f2,,,,,,,
2026-05-09 19:39:20,1778355560521,www.signarank.club/address/1189430497292168769,GET,,200,pb84n-1778355560521-fdb8c093486d,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),,production,main,MISS,middleware,/_middleware,www.signarank.club,www.signarank.club,dpl_7d2XBmCccscwT3rSgG3h95nEH9aq,5,lhr1,275,2048,,prj_q0cRf9YyJTKZFmseEyTLAnrE22f2,,,01KR740R2JDFBCEG8WAR03MWY0,pnoPOLqJiMFt,1,,
2026-05-09 19:39:20,1778355560521,www.signarank.club/address/1189430497292168769,GET,,200,pb84n-1778355560521-fdb8c093486d,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),,production,main,MISS,function,/address/[address],www.signarank.club,www.signarank.club,dpl_7d2XBmCccscwT3rSgG3h95nEH9aq,644,iad1,361,2048,,prj_q0cRf9YyJTKZFmseEyTLAnrE22f2,,,01KR740R7FY42NC84SDV42584A,ZvhfcDZ6iY4v,1,,
2026-05-09 19:39:16,1778355556085,www.signarank.club/address/10071866959193738061,GET,,404,b2tzw-1778355556001-08fe1c46efae,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Amzn-SearchBot/0.1) Chrome/119.0.6045.214 Safari/537.36",info,production,main,MISS,function,/address/[address],www.signarank.club,www.signarank.club,dpl_7d2XBmCccscwT3rSgG3h95nEH9aq,,,,,"prisma:query SELECT ""public"".""Address"".""id"", ""public"".""Address"".""address"", ""public"".""Address"".""score"", ""public"".""Address"".""ranking"", ""public"".""Address"".""progress"", ""public"".""Address"".""name"", ""public"".""Address"".""imageUrl"", ""public"".""Address"".""description"", ""public"".""Address"".""active"", ""public"".""Address"".""createdAt"", ""public"".""Address"".""updatedAt"" FROM ""public"".""Address"" WHERE ""public"".""Address"".""address"" = $1 LIMIT $2 OFFSET $3",prj_q0cRf9YyJTKZFmseEyTLAnrE22f2,,,,,,,
2026-05-09 19:39:16,1778355556193,www.signarank.club/address/10071866959193738061,GET,,404,b2tzw-1778355556001-08fe1c46efae,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Amzn-SearchBot/0.1) Chrome/119.0.6045.214 Safari/537.36",error,production,main,MISS,function,/address/[address],www.signarank.club,www.signarank.club,dpl_7d2XBmCccscwT3rSgG3h95nEH9aq,,,,,"calculateSignaScore Error: Unknown account (Code: 5)
    at async p (.next/server/chunks/ssr/[root-of-the-server]__07y9u9b._.js:1:14981)
    at async t (.next/server/chunks/ssr/[root-of-the-server]__0mmqnwq._.js:1:790)
    at async q (.next/server/chunks/ssr/[root-of-the-server]__12bx~8w._.js:1:35837) {
  requestUrl: '/api?requestType=getAccountTransactions&includeIndirect=false&account=10071866959193738061',
  status: 400,
  data: {
    errorCode: 5,
    errorDescription: 'Unknown account',
    requestProcessingTime: 0
  },
  timestamp: 1778355556192
}",prj_q0cRf9YyJTKZFmseEyTLAnrE22f2,,,,,,,
